"convocatoria","colectiva_nombre","colectiva_url","pais","ciudad","actividad_fecha","actividad_hora","actividad_localizacion","actividad_localizacion_latitude","actividad_localizacion_longitude","actividad_localizacion_altitude","actividad_localizacion_precision","actividad_direccion","actividad_url_imagen","actividad_url_convocatoria"
"2024","Sindicato de Estudiantes","https://www.sindicatodeestudiantes.net/","ES","Málaga","2024-03-08","12:00:00","36.717932 -4.420347 0 0","36.717932","-4.420347","0.0","0.0","Plaza de la Marina, Málaga","{{https://www.sindicatodeestudiantes.net/images/2024/Febrero/8m2024/cartelLyC_8M2024_Andalucia.jpeg}}","https://www.sindicatodeestudiantes.net/images/2024/Febrero/8m2024/octaLyC_8M24_andalucia.pdf"
"2024","Sindicato de Estudiantes","https://www.sindicatodeestudiantes.net/","ES","Cádiz","2024-03-08","12:00:00","36.530134 -6.292377 0 0","36.530134","-6.292377","0.0","0.0","Plaza San Juan de Dios, Cádiz","{{https://www.sindicatodeestudiantes.net/images/2024/Febrero/8m2024/cartelLyC_8M2024_Andalucia.jpeg}}","https://www.sindicatodeestudiantes.net/images/2024/Febrero/8m2024/octaLyC_8M24_andalucia.pdf"
"2024","Sindicato de Estudiantes","https://www.sindicatodeestudiantes.net/","ES","Sevilla","2024-03-08","12:00:00","37.388591 -5.996305 0 0","37.388591","-5.996305","0.0","0.0","Pl. Nueva, Sevilla","{{https://www.sindicatodeestudiantes.net/images/2024/Febrero/8m2024/cartelLyC_8M2024_Andalucia.jpeg}}","https://www.sindicatodeestudiantes.net/images/2024/Febrero/8m2024/octaLyC_8M24_andalucia.pdf"
"2024","Sindicato de Estudiantes","https://www.sindicatodeestudiantes.net/","ES","Huelva","2024-03-08","12:00:00","37.257144 -6.95149 0 0","37.257144","-6.95149","0.0","0.0","Pl. de Las Monjas, Huelva","{{https://www.sindicatodeestudiantes.net/images/2024/Febrero/8m2024/cartelLyC_8M2024_Andalucia.jpeg}}","https://www.sindicatodeestudiantes.net/images/2024/Febrero/8m2024/octaLyC_8M24_andalucia.pdf"
"2024","Sindicato de Estudiantes","https://www.sindicatodeestudiantes.net/","ES","Jaén","2024-03-08","12:00:00","37.765971 -3.789572 0 0","37.765971","-3.789572","0.0","0.0","Pl. de San Francisco, Jaén","{{https://www.sindicatodeestudiantes.net/images/2024/Febrero/8m2024/cartelLyC_8M2024_Andalucia.jpeg}}","https://www.sindicatodeestudiantes.net/images/2024/Febrero/8m2024/octaLyC_8M24_andalucia.pdf"
"2024","Sindicato de Estudiantes","https://www.sindicatodeestudiantes.net/","ES","Santander","2024-03-08","12:00:00","43.460967 -3.817439 0 0","43.460967","-3.817439","0.0","0.0","Pl. de Numancia, Santander","{{https://www.sindicatodeestudiantes.net/images/2024/Febrero/8m2024/8M2024_cartel_cantabria.jpg}}","https://www.sindicatodeestudiantes.net/images/2024/Febrero/8m2024/octaLyC_8M24_estatal.pdf"
"2024","Sindicat d'Estudiants","sindicatdestudiants.net","ES","València","2024-03-08","12:00:00","39.477072 -0.361765 0 0","39.477072","-0.361765","0.0","0.0","Av. de Blasco Ibáñez, 28, El Pla del Real, 46010 València","{{https://www.sindicatodeestudiantes.net/images/2024/Febrero/8m2024/8M2024_cartell_paisvalenciaweb.jpg}}","https://www.sindicatodeestudiantes.net/images/2024/Febrero/8m2024/octaLyC_8M24_paisvalencia.pdf"
"2024","Sindicat d'Estudiants","sindicatdestudiants.net","ES","Alacant","2024-03-08","12:00:00","38.348959 -0.49282 0 0","38.348959","-0.49282","0.0","0.0","C. de Wenceslao Fernández Flórez, 1, 03005 Alicante","{{https://www.sindicatodeestudiantes.net/images/2024/Febrero/8m2024/8M2024_cartell_paisvalenciaweb.jpg}}","https://www.sindicatodeestudiantes.net/images/2024/Febrero/8m2024/octaLyC_8M24_paisvalencia.pdf"
"2024","SE VA A ARMAR LA GORDA","https://sevaarmarlagorda.wordpress.com/","ES","Barcelona","2024-03-07","19:00:00","41.395246 2.187089 0 0","41.395246","2.187089","0.0","0.0","Sortida metro Marina L1","{{https://assemblea8m.cat/wp-content/uploads/2024/02/GGxDrugWoAAzwon-768x1086.jpg}}","https://sevaarmarlagorda.wordpress.com/2024/02/19/xiv-se-va-a-armar-la-gorda/"
"2024","Subversives Castelló","https://twitter.com/SubversivesCS","ES","Castelló","2024-03-08","12:00:00","39.982138 -0.035671 0 0","39.982138","-0.035671","0.0","0.0","Plaça de Fadrell, 7, 12003 Castelló de la Plana, Castelló","{{https://pbs.twimg.com/media/GHNF1L2XsAAc9wS?format=jpg&name=large}}","https://twitter.com/SubversivesCS/status/1761828669096415452"
"2024","Asturies Feminista 8M","https://twitter.com/Asturies8M","ES","Oviedo","2024-03-03","12:00:00","43.360448 -5.844907 0 0","43.360448","-5.844907","0.0","0.0","Plaza del Ayuntamiento, Oviedo","{{https://pbs.twimg.com/media/GHRQjRaXQAE09-U?format=jpg&name=medium}}","https://twitter.com/Asturies8M/status/1762121932315508817"
"2024","Ayuntamiento de Colmenarejo","https://www.ayto-colmenarejo.com/?page_id=642","ES","Madrid","2024-03-08","12:00:00","40.56084 -4.016554 0 0","40.56084","-4.016554","0.0","0.0","Plaza de la Constitución, Colmenarejo, Madrid","{{https://www.ayto-colmenarejo.com/wp-content/upLoads/2023/03/PORTADA-300x212.jpg}}",""
