"indice","convocatoria","colectiva_nombre","colectiva_url","pais","ciudad","actividad_fecha","actividad_hora","actividad_localizacion","actividad_localizacion_latitude","actividad_localizacion_longitude","actividad_localizacion_altitude","actividad_localizacion_precision","actividad_direccion","actividad_url_imagen","actividad_url_convocatoria"
"270","2024","Cultura BC San Felipe","https://www.facebook.com/CulturaBCSanFelipe","MX","San Felipe","2024-03-04","14:00:00","31.034184 -114.835169 0 0","31.034184","-114.835169","0.0","0.0","Actividad remota: https://www.facebook.com/CulturaBCSanFelipe/live_videos","{{https://www.facebook.com/photo?fbid=817459923745691&set=pcb.817460167079000&locale=es_LA}}","https://www.facebook.com/photo?fbid=817459923745691&set=pcb.817460167079000&locale=es_LA"
"271","2024","Cultura BC San Felipe","https://www.facebook.com/CulturaBCSanFelipe","MX","San Felipe","2024-03-05","14:00:00","31.025192 -114.83552 0 0","31.025192","-114.83552","0.0","0.0","Actividad remota: https://www.facebook.com/CulturaBCSanFelipe/live_videos","{{https://www.facebook.com/photo?fbid=817459923745691&set=pcb.817460167079000&locale=es_LA}}","https://www.facebook.com/photo?fbid=817459923745691&set=pcb.817460167079000&locale=es_LA"
"272","2024","Cultura BC San Felipe","https://www.facebook.com/CulturaBCSanFelipe","MX","San Felipe","2024-03-06","14:00:00","31.02249 -114.840333 0 0","31.02249","-114.840333","0.0","0.0","Actividad remota: https://www.facebook.com/CulturaBCSanFelipe/live_videos","{{https://www.facebook.com/photo?fbid=817459923745691&set=pcb.817460167079000&locale=es_LA}}","https://www.facebook.com/photo?fbid=817459923745691&set=pcb.817460167079000&locale=es_LA"
"273","2024","Cultura BC San Felipe","https://www.facebook.com/CulturaBCSanFelipe","MX","San Felipe","2024-03-07","14:00:00","31.033899 -114.836079 0 0","31.033899","-114.836079","0.0","0.0","Actividad remota: https://www.facebook.com/CulturaBCSanFelipe/live_videos","{{https://www.facebook.com/photo?fbid=817459923745691&set=pcb.817460167079000&locale=es_LA}}","https://www.facebook.com/photo?fbid=817459923745691&set=pcb.817460167079000&locale=es_LA"
"274","2024","Cultura BC San Felipe","https://www.facebook.com/CulturaBCSanFelipe","MX","San Felipe","2024-03-09","14:00:00","31.032203 -114.834047 0 0","31.032203","-114.834047","0.0","0.0","Actividad remota: https://www.facebook.com/CulturaBCSanFelipe/live_videos","{{https://www.facebook.com/photo?fbid=817459923745691&set=pcb.817460167079000&locale=es_LA}}","https://www.facebook.com/photo?fbid=817459923745691&set=pcb.817460167079000&locale=es_LA"
"275","2024","La Bazara","https://www.instagram.com/labazara_mxl/","MX","Mexicali","2024-02-24","13:00:00","32.654244 -115.473595 0 0","32.654244","-115.473595","0.0","0.0","MG3H+F5, Blvd. Lopez Mateos s/n, 21010 Mexicali, B.C., México","{{https://www.instagram.com/p/C2LGeDuyu8N/}}","https://www.facebook.com/events/1592023691567732"
"276","2024","La Bazara","https://www.instagram.com/labazara_mxl/","MX","Mexicali","2024-02-24","17:00:00","32.654226 -115.471232 0 0","32.654226","-115.471232","0.0","0.0","MG3H+F5, Blvd. Lopez Mateos s/n, 21010 Mexicali, B.C., México","{{https://www.facebook.com/photo?fbid=420879533790155&set=pcb.420879583790150}}","https://www.facebook.com/events/1592023691567732"
"277","2024","Especulativas","https://especulativas.com","MX","Ciudad de México","2024-03-07","20:00:00","19.470143 -99.082051 0 0","19.470143","-99.082051","0.0","0.0","Actividad remota: https://www.facebook.com/Especulativas/live_videos?locale=es_LA","{{https://www.facebook.com/photo/?fbid=708393131449152&set=a.490021726619628&locale=es_LA}}","https://www.facebook.com/photo/?fbid=708393131449152&set=a.490021726619628&locale=es_LA"
"278","2024","Lux Boreal y alumnas de bordado","https://www.facebook.com/LuxBorealOficial/","MX","Tijuana","2024-03-06","16:00:00","32.306739 -117.039228 0 0","32.306739","-117.039228","0.0","0.0","Paseo La Cascada s/n, La Cascada, 22701 Playas de Rosarito, B.C., México","{{https://www.facebook.com/photo?fbid=817454813746202&set=pcb.817460167079000&locale=es_LA}}","https://www.facebook.com/photo?fbid=817454813746202&set=pcb.817460167079000&locale=es_LA"
"279","2024","Women of Diverse Origins / Femmes de Diverses Origines","https://www.facebook.com/WDO.FDO.Quebec","CA","Montreal","2024-03-08","17:30:00","45.499564 -73.57093 0 0","45.499564","-73.57093","0.0","0.0","Square Dorchester, Montréal, QC H3B, Canada","{{https://i.imgur.com/MPgJ4qf.jpeg}}","https://www.facebook.com/events/1457823821780440?ref=newsfeed"
